# Every line that begins with # is a comment
# File name format: graph_n_m.txt, where n: number of vertices and m: number of edges
# Landscape consists of 10 "squares" by 10 "squares" (like a chessboard), indexed from 0 through 9
# Each "square" is 100x100.
# Vertices: Index, SquareX, SquareY
Vertices
0,7,4
1,0,5
2,6,3
3,4,3
4,0,3
5,1,7
6,7,3
7,1,6
8,7,0
9,8,6
10,6,9
11,6,9
12,0,5
13,0,2
14,1,2
15,3,6
16,9,3
17,3,8
18,6,3
19,7,6
20,4,4
21,8,3
22,2,3
23,8,5
24,7,2
25,9,9
26,4,5
27,7,6
28,2,3
29,5,7
30,8,2
31,8,4
32,1,0
33,9,6
34,4,6
35,7,0
36,1,4
37,6,2
38,1,9
39,6,6
40,1,2
41,9,6
42,5,2
43,8,5
44,4,9
45,2,4
46,8,7
47,7,5
48,6,0
49,1,2
50,1,8
51,4,0
52,6,8
53,8,8
54,0,5
55,6,4
56,4,1
57,8,4
58,3,1
59,2,2
60,2,3
61,1,0
62,4,0
63,8,0
64,7,2
65,7,6
66,2,1
67,8,5
68,8,4
69,9,1
70,8,4
71,8,7
72,8,0
73,9,4
74,6,8
75,2,2
76,5,1
77,7,6
78,7,1
79,1,6
80,6,7
81,9,3
82,0,4
83,7,0
84,1,9
85,1,0
86,3,0
87,1,9
88,6,4
89,3,2
90,9,2
91,1,6
92,5,2
93,6,0
94,8,4
95,9,8
96,1,0
97,8,7
98,2,6
99,7,1
100,5,5
101,4,9
102,6,9
103,6,5
104,7,0
105,4,8
106,2,7
107,8,6
108,9,2
109,6,6
110,1,1
111,1,0
112,7,2
113,6,9
114,1,0
115,6,6
116,9,1
117,8,0
118,1,3
119,8,9
120,8,0
121,2,5
122,0,4
123,6,5
124,5,3
125,4,6
126,9,8
127,0,2
128,0,9
129,6,6
130,2,8
131,8,1
132,9,7
133,3,1
134,5,7
135,3,4
136,5,9
137,0,1
138,8,5
139,6,0
140,3,4
141,6,7
142,4,9
143,1,6
144,4,9
145,6,8
146,4,8
147,5,4
148,5,2
149,4,1
150,4,1
151,7,9
152,3,7
153,2,9
154,2,4
155,0,2
156,1,6
157,5,3
158,6,0
159,0,6
160,5,2
161,1,2
162,7,6
163,2,6
164,2,1
165,1,1
166,5,5
167,3,1
168,9,6
169,3,0
170,5,9
171,0,8
172,0,7
173,3,7
174,7,6
175,9,0
176,4,2
177,7,7
178,8,0
179,5,3
180,3,5
181,2,4
182,0,2
183,0,5
184,0,5
185,8,9
186,5,4
187,9,3
188,2,0
189,6,4
190,2,9
191,8,1
192,2,9
193,0,6
194,0,3
195,3,0
196,6,0
197,0,0
198,1,4
199,4,3
200,0,7
201,2,2
202,1,1
203,2,1
204,2,4
205,1,0
206,1,7
207,6,7
208,8,9
209,0,9
210,8,5
211,4,9
212,6,5
213,9,6
214,5,4
215,7,5
216,9,3
217,3,1
218,8,3
219,6,2
220,7,3
221,3,8
222,6,3
223,1,9
224,4,0
225,0,4
226,3,4
227,4,9
228,3,1
229,3,4
230,6,8
231,7,9
232,9,1
233,4,4
234,8,5
235,7,3
236,3,7
237,5,9
238,8,5
239,3,9
240,8,2
241,1,1
242,0,8
243,4,7
244,6,3
245,6,4
246,4,4
247,1,8
248,8,4
249,2,1
250,4,5
251,5,3
252,8,1
253,6,4
254,0,2
255,5,3
256,1,8
257,9,6
258,2,5
259,4,9
260,5,6
261,4,3
262,7,8
263,5,5
264,3,4
265,2,4
266,4,3
267,5,5
268,7,2
269,3,2
270,1,7
271,9,7
272,2,7
273,1,8
274,9,3
275,9,4
276,1,0
277,7,1
278,7,0
279,2,9
280,3,3
281,2,3
282,4,1
283,5,1
284,2,8
285,6,0
286,0,1
287,2,1
288,3,2
289,1,9
290,0,4
291,2,6
292,0,1
293,5,5
294,7,8
295,7,6
296,0,3
297,4,7
298,5,1
299,7,1
300,5,6
301,7,2
302,1,4
303,6,1
304,3,4
305,3,4
306,1,2
307,6,0
308,4,8
309,1,1
310,3,6
311,6,2
312,6,6
313,6,1
314,3,5
315,1,7
316,5,4
317,8,3
318,3,6
319,2,0
320,3,4
321,0,5
322,0,4
323,5,0
324,7,4
325,2,2
326,3,0
327,6,0
328,6,2
329,3,4
330,9,9
331,7,2
332,6,4
333,7,8
334,1,7
335,9,6
336,9,2
337,1,3
338,8,0
339,3,1
340,9,9
341,7,9
342,1,8
343,1,3
344,7,5
345,6,6
346,1,8
347,0,2
348,3,4
349,4,7
350,6,2
351,8,4
352,6,2
353,2,6
354,3,6
355,6,2
356,6,6
357,2,4
358,0,1
359,3,0
360,8,6
361,3,0
362,6,8
363,2,1
364,7,5
365,9,9
366,0,0
367,2,7
368,5,0
369,6,5
370,7,7
371,4,0
372,1,7
373,8,4
374,1,9
375,6,0
376,2,2
377,7,8
378,3,0
379,2,6
380,9,9
381,9,6
382,6,9
383,6,2
384,1,4
385,9,9
386,4,9
387,8,2
388,4,7
389,1,7
390,6,7
391,4,2
392,6,0
393,9,1
394,3,9
395,6,4
396,9,7
397,1,4
398,5,5
399,5,7
400,0,8
401,7,8
402,9,1
403,5,2
404,1,0
405,1,1
406,4,3
407,5,2
408,4,9
409,7,4
410,7,0
411,5,9
412,5,8
413,3,3
414,0,5
415,2,1
416,6,9
417,3,0
418,5,6
419,2,6
420,3,8
421,4,2
422,3,2
423,5,1
424,8,4
425,8,9
426,0,9
427,4,7
428,2,4
429,8,2
430,3,1
431,3,5
432,9,4
433,0,8
434,6,1
435,5,5
436,4,7
437,1,9
438,2,0
439,4,9
440,2,8
441,0,4
442,2,1
443,4,5
444,6,7
445,6,7
446,4,1
447,8,9
448,2,6
449,2,5
450,1,3
451,8,6
452,1,0
453,7,5
454,0,2
455,9,8
456,5,8
457,6,1
458,7,3
459,3,7
460,6,9
461,6,3
462,9,6
463,1,7
464,8,6
465,2,5
466,8,5
467,7,6
468,2,7
469,6,9
470,9,9
471,8,3
472,4,4
473,7,9
474,0,2
475,0,7
476,7,1
477,1,1
478,1,1
479,5,5
480,2,1
481,8,9
482,3,4
483,0,1
484,5,6
485,3,4
486,9,8
487,0,6
488,2,5
489,7,5
490,3,3
491,5,2
492,8,9
493,5,8
494,7,1
495,1,1
496,1,7
497,5,6
498,9,3
499,7,3
500,4,7
501,1,9
502,6,2
503,2,6
504,8,5
505,2,2
506,3,3
507,9,7
508,2,7
509,1,5
510,5,0
511,7,7
512,2,9
513,8,1
514,0,0
515,1,9
516,3,9
517,8,8
518,9,6
519,3,4
520,2,4
521,7,3
522,1,0
523,1,0
524,5,1
525,4,9
526,7,6
527,4,3
528,3,7
529,6,0
530,9,3
531,9,8
532,6,8
533,4,1
534,8,1
535,7,0
536,9,0
537,4,6
538,9,6
539,1,6
540,8,1
541,3,5
542,7,2
543,4,4
544,8,0
545,4,7
546,6,5
547,5,4
548,4,5
549,8,8
550,3,7
551,3,5
552,9,3
553,8,0
554,0,3
555,4,6
556,3,3
557,7,4
558,6,2
559,8,3
560,4,1
561,6,7
562,8,6
563,2,2
564,9,2
565,1,4
566,0,7
567,3,6
568,4,5
569,9,5
570,0,2
571,1,5
572,6,3
573,5,3
574,6,7
575,2,7
576,3,0
577,1,1
578,3,6
579,5,7
580,3,2
581,3,2
582,1,3
583,8,9
584,7,3
585,7,3
586,2,1
587,9,8
588,8,2
589,1,4
590,4,6
591,9,1
592,2,2
593,9,8
594,0,9
595,5,5
596,6,4
597,6,3
598,9,7
599,0,3
600,6,2
601,8,4
602,8,9
603,0,0
604,0,5
605,7,0
606,6,3
607,8,5
608,3,2
609,8,4
610,2,3
611,4,1
612,3,6
613,6,0
614,8,1
615,6,1
616,3,1
617,3,9
618,9,0
619,1,4
620,5,0
621,7,9
622,8,2
623,7,2
624,2,5
625,2,7
626,1,2
627,9,9
628,9,7
629,0,8
630,7,3
631,0,9
632,5,8
633,1,1
634,1,8
635,9,6
636,3,4
637,8,2
638,2,1
639,5,0
640,2,9
641,3,8
642,7,8
643,0,5
644,2,4
645,5,2
646,8,8
647,6,2
648,1,8
649,0,8
650,5,7
651,0,7
652,2,0
653,8,7
654,0,9
655,1,1
656,1,1
657,2,8
658,2,9
659,0,7
660,3,4
661,4,6
662,9,0
663,7,8
664,9,9
665,5,9
666,6,8
667,2,0
668,8,8
669,9,4
670,2,3
671,4,3
672,7,6
673,6,5
674,6,2
675,6,5
676,5,2
677,2,8
678,5,1
679,1,1
680,4,9
681,0,6
682,1,8
683,2,2
684,2,5
685,5,6
686,3,0
687,5,1
688,3,3
689,8,8
690,6,3
691,5,8
692,7,5
693,4,3
694,3,3
695,7,4
696,3,8
697,7,2
698,6,1
699,3,9
700,6,7
701,5,2
702,3,0
703,6,4
704,3,3
705,7,6
706,5,6
707,7,7
708,9,6
709,9,6
710,7,8
711,4,7
712,2,9
713,7,0
714,0,5
715,3,6
716,5,4
717,5,0
718,2,9
719,5,5
720,7,8
721,5,5
722,3,6
723,9,2
724,0,3
725,5,9
726,7,1
727,4,1
728,9,7
729,5,0
730,6,9
731,6,7
732,8,2
733,4,6
734,8,4
735,8,8
736,0,4
737,0,8
738,4,4
739,9,6
740,7,7
741,2,0
742,3,1
743,5,7
744,5,0
745,5,1
746,5,7
747,1,6
748,4,3
749,9,4
750,5,8
751,0,9
752,3,7
753,2,4
754,4,9
755,4,1
756,0,6
757,6,6
758,1,9
759,7,2
760,1,8
761,4,6
762,9,2
763,2,8
764,2,7
765,4,5
766,6,7
767,4,5
768,0,9
769,6,2
770,6,0
771,4,5
772,8,9
773,0,3
774,2,4
775,0,4
776,8,5
777,4,4
778,6,8
779,2,2
780,3,7
781,1,6
782,1,2
783,5,8
784,2,3
785,7,2
786,2,2
787,2,4
788,4,0
789,5,8
790,5,3
791,3,0
792,2,7
793,1,9
794,5,1
795,1,7
796,9,4
797,1,9
798,9,7
799,9,8
800,5,5
801,2,8
802,9,5
803,1,4
804,3,3
805,2,6
806,9,3
807,4,9
808,1,8
809,5,0
810,3,2
811,6,7
812,3,9
813,3,6
814,3,6
815,4,5
816,2,6
817,6,4
818,9,4
819,4,9
820,9,4
821,6,8
822,2,4
823,5,7
824,4,7
825,6,2
826,7,7
827,8,8
828,7,6
829,4,3
830,3,7
831,1,8
